"BrNum","ID","Batch"
"Br5287","9828658132_R03C01","5M"
"Br2275","9373406026_R02C01","5M"
"Br2473","9373408026_R01C01","5M"
"Br2260","9373406026_R01C01","5M"
"Br2262","9348679019_R04C01","5M"
"Br5005","9829181016_R02C01","5M"
"Br5228","9853746074_R01C01","5M"
"Br5280","9853746074_R03C01","5M"
"Br1753","4463344375_R01C01","1M"
"Br1761","4463344375_R01C02","1M"
"Br1432","4463344553_R01C01","1M"
"Br1677","4572348848_R01C02","1M"
"Br1756","4572348800_R01C02","1M"
"Br1109","4572348855_R01C02","1M"
"Br1998","5511192119_R01C01","1M"
"Br1984","5535549009_R01C02","1M"
"Br1992","5535522104_R01C01","1M"
"Br1734","5535522147_R01C02","1M"
"Br1652","5535549043_R01C01","1M"
"Br2285","5535506145_R01C01","1M"
"Br1652","6017049081_R01C02","1M"
"Br2309","3998646086_R06C01","2-5-8-v1-1"
"Br5216","3998646112_R07C01","2-5-8-v1-1"
"Br5392","3998646026_R04C01","2-5-8-v1-1"
"Br5288","3998646039_R01C01","2-5-8-v1-1"
"Br5190","3998646040_R06C01","2-5-8-v1-1"
"Br5249","3998646070_R04C01","2-5-8-v1-1"
"Br5623","9964675027_R01C01","2-5-8-v1-1"
"Br5867","9964675031_R07C01","2-5-8-v1-1"
"Br5395","9964045113_R03C01","2-5-8-v1-1"
"Br5551","9964045093_R07C01","2-5-8-v1-1"
"Br5218","9964045119_R07C01","2-5-8-v1-1"
"Br5594","201398930004_R03C01","2-5-8-v1-3"
"Br5517","201398930009_R04C01","2-5-8-v1-3"
"Br5701","201398400035_R07C01","2-5-8-v1-3"
"Br5829","201398400045_R06C01","2-5-8-v1-3"
"Br5979","201398930120_R02C01","2-5-8-v1-3"
"Br6016","201398930120_R05C01","2-5-8-v1-3"
"Br5931","201398400130_R01C01","2-5-8-v1-3"
"Br1652","201398400130_R04C01","2-5-8-v1-3"
"Br2275","201398400130_R06C01","2-5-8-v1-3"
"Br1674","4031091033_A","h650"
